FamilyID,ChildID,FatherID,MotherID,Sex,Population,Superpopulation
CLM22,HG01276,HG01274,HG01275,F,CLM,AMR
CLM23,HG01279,HG01277,HG01278,F,CLM,AMR
CLM26,HG01343,HG01341,HG01342,F,CLM,AMR
CLM27,HG01346,HG01344,HG01345,F,CLM,AMR
CLM28,HG01349,HG01347,HG01348,F,CLM,AMR
CLM29,HG01352,HG01350,HG01351,F,CLM,AMR
CLM30,HG01355,HG01353,HG01354,F,CLM,AMR
CLM31,HG01358,HG01356,HG01357,M,CLM,AMR
CLM32,HG01361,HG01359,HG01360,F,CLM,AMR
CLM34,HG01367,HG01365,HG01366,F,CLM,AMR
CLM37,HG01376,HG01374,HG01375,F,CLM,AMR
CLM38,HG01379,HG01377,HG01378,F,CLM,AMR
CLM40,HG01385,HG01383,HG01384,F,CLM,AMR
CLM42,HG01391,HG01389,HG01390,F,CLM,AMR
CLM43,HG01433,HG01431,HG01432,M,CLM,AMR
CLM45,HG01439,HG01437,HG01438,F,CLM,AMR
CLM51,HG01457,HG01455,HG01456,M,CLM,AMR
CLM53,HG01463,HG01461,HG01462,F,CLM,AMR
CLM54,HG01466,HG01464,HG01465,F,CLM,AMR
CLM62,HG01490,HG01488,HG01489,F,CLM,AMR
CLM63,HG01493,HG01491,HG01492,F,CLM,AMR
CLM64,HG01496,HG01494,HG01495,F,CLM,AMR
CLM65,HG01499,HG01497,HG01498,M,CLM,AMR
IBS001,HG01502,HG01500,HG01501,M,IBS,EUR
IBS002,HG01505,HG01503,HG01504,M,IBS,EUR
IBS003,HG01508,HG01506,HG01507,M,IBS,EUR
IBS004,HG01511,HG01509,HG01510,F,IBS,EUR
IBS005,HG01514,HG01512,HG01513,F,IBS,EUR
IBS006,HG01517,HG01515,HG01516,F,IBS,EUR
IBS007,HG01520,HG01518,HG01519,F,IBS,EUR
IBS008,HG01523,HG01521,HG01522,M,IBS,EUR
IBS009,HG01526,HG01524,HG01525,M,IBS,EUR
IBS010,HG01529,HG01527,HG01528,M,IBS,EUR
IBS011,HG01532,HG01530,HG01531,M,IBS,EUR
IBS013,HG01538,HG01536,HG01537,F,IBS,EUR
CLM66,HG01552,HG01550,HG01551,M,CLM,AMR
PEL001,HG01567,HG01565,HG01566,F,PEL,AMR
PEL003,HG01573,HG01571,HG01572,F,PEL,AMR
PEL005,HG01579,HG01577,HG01578,M,PEL,AMR
IBS024,HG01601,HG01603,HG01602,M,IBS,EUR
IBS023,HG01604,HG01606,HG01605,F,IBS,EUR
IBS022,HG01609,HG01608,HG01607,M,IBS,EUR
IBS021,HG01611,HG01610,HG01612,M,IBS,EUR
IBS020,HG01614,HG01615,HG01613,F,IBS,EUR
IBS019,HG01616,HG01617,HG01618,F,IBS,EUR
IBS018,HG01621,HG01619,HG01620,M,IBS,EUR
IBS017,HG01622,HG01624,HG01623,F,IBS,EUR
IBS016,HG01627,HG01625,HG01626,M,IBS,EUR
IBS015,HG01629,HG01630,HG01628,M,IBS,EUR
IBS014,HG01633,HG01631,HG01632,M,IBS,EUR
IBS025,HG01667,HG01669,HG01668,M,IBS,EUR
IBS026,HG01671,HG01672,HG01670,M,IBS,EUR
IBS027,HG01674,HG01675,HG01673,M,IBS,EUR
IBS028,HG01677,HG01678,HG01676,F,IBS,EUR
IBS029,HG01681,HG01680,HG01679,F,IBS,EUR
IBS030,HG01683,HG01682,HG01684,M,IBS,EUR
IBS031,HG01687,HG01686,HG01685,F,IBS,EUR
IBS034,HG01696,HG01694,HG01695,M,IBS,EUR
